日期,ETF代號,股票代號,股票名稱,股數,持股比例(%)
2026-05-13,00981A,2330,台積電,11657000.0,9.68
2026-05-13,00981A,2383,台光電,4605000.0,8.49
2026-05-13,00981A,2345,智邦,6231000.0,5.68
2026-05-13,00981A,2454,聯發科,4263000.0,5.57
2026-05-13,00981A,2308,台達電,6572000.0,5.32
2026-05-13,00981A,6669,緯穎,2294000.0,4.79
2026-05-13,00981A,3017,奇鋐,4813000.0,4.65
2026-05-13,00981A,6223,旺矽,2169000.0,4.64
2026-05-13,00981A,3665,貿聯-KY,4703848.0,4.4
2026-05-13,00981A,8046,南電,12658000.0,4.17
2026-05-13,00981A,3037,欣興,10822000.0,3.61
2026-05-13,00981A,2368,金像電,7018000.0,3.54
2026-05-13,00981A,5274,信驊,483000.0,3.22
2026-05-13,00981A,3711,日月光投控,14998000.0,3.07
2026-05-13,00981A,3653,健策,2267000.0,2.99
2026-05-13,00981A,2327,國巨*,18313000.0,2.88
2026-05-13,00981A,6274,台燿,4151000.0,2.25
2026-05-13,00981A,2303,聯電,46374000.0,1.71
2026-05-13,00981A,6515,穎崴,442000.0,1.63
2026-05-13,00981A,3443,創意,764000.0,1.52
2026-05-13,00981A,2449,京元電子,12919000.0,1.47
2026-05-13,00981A,6510,精測,930000.0,1.31
2026-05-13,00981A,6805,富世達,1761000.0,1.21
2026-05-13,00981A,8210,勤誠,1967000.0,1.12
2026-05-13,00981A,3264,欣銓,9030000.0,0.78
2026-05-13,00981A,6187,萬潤,1224000.0,0.56
2026-05-13,00981A,2404,漢唐,1394000.0,0.53
2026-05-13,00981A,2357,華碩,1996000.0,0.5
2026-05-13,00981A,5439,高技,3228000.0,0.45
2026-05-13,00981A,8996,高力,1034000.0,0.4
2026-05-13,00981A,2313,華通,4124000.0,0.37
2026-05-13,00981A,8150,南茂,11334000.0,0.36
2026-05-13,00981A,8358,金居,1980000.0,0.34
2026-05-13,00981A,4966,譜瑞-KY,1036000.0,0.31
2026-05-13,00981A,1590,亞德客-KY,530000.0,0.29
2026-05-13,00981A,3008,大立光,159000.0,0.17
2026-05-13,00981A,2481,強茂,3654000.0,0.17
2026-05-13,00981A,3661,世芯-KY,89000.0,0.16
2026-05-13,00981A,6415,矽力*-KY,940000.0,0.16
2026-05-13,00981A,6191,精成科,3988000.0,0.14
2026-05-13,00981A,3036,文曄,1200000.0,0.13
2026-05-13,00981A,3376,新日興,1741000.0,0.13
2026-05-13,00981A,3217,優群,874000.0,0.06
2026-05-13,00981A,2002,中鋼,5163000.0,0.04
2026-05-13,00981A,1319,東陽,511000.0,0.02
2026-05-13,00981A,1815,富喬,107000.0,0.0
2026-05-13,00981A,2439,美律,18000.0,0.0
2026-05-13,00981A,2337,旺宏,8000.0,0.0
2026-05-13,00981A,6147,頎邦,1000.0,0.0
2026-05-13,00981A,2317,鴻海,1000.0,0.0
2026-05-13,00981A,5347,世界,1000.0,0.0
2026-05-13,00980A,2330,台灣積體電路製造,607000.0,7.83
2026-05-13,00980A,2308,台達電子工業,459000.0,5.77
2026-05-13,00980A,2383,台光電子材料,134000.0,3.84
2026-05-13,00980A,2454,聯發科技,188000.0,3.82
2026-05-13,00980A,7769,鴻勁精密,86000.0,3.72
2026-05-13,00980A,2360,致茂電子,228000.0,3.19
2026-05-13,00980A,2345,智邦科技,208000.0,2.94
2026-05-13,00980A,2382,廣達電腦,1445000.0,2.86
2026-05-13,00980A,2408,南亞科技,1510000.0,2.82
2026-05-13,00980A,2317,鴻海精密工業,1905000.0,2.78
2026-05-13,00980A,3017,奇鋐科技,184000.0,2.76
2026-05-13,00980A,6669,緯穎科技服務,83000.0,2.69
2026-05-13,00980A,2059,川湖科技,82000.0,2.5
2026-05-13,00980A,5274,信驊科技,23000.0,2.38
2026-05-13,00980A,8210,勤誠興業,268000.0,2.37
2026-05-13,00980A,6223,旺矽科技,71000.0,2.36
2026-05-13,00980A,2368,金像電子（股）公司,299000.0,2.35
2026-05-13,00980A,8299,群聯電子,150000.0,2.28
2026-05-13,00980A,6515,穎崴科技,37000.0,2.12
2026-05-13,00980A,2344,華邦電子,2892000.0,2.05
2026-05-13,00980A,3665,貿聯控股（BizLink Holding In,130336.0,1.89
2026-05-13,00980A,6274,台燿科技,222000.0,1.87
